Locality	Population Density	Taxes	Income
1000	5949	449947939.5	2131778502
1005	5949	449947939.5	2131778502
1006	5949	449947939.5	2131778502
1007	5949	449947939.5	2131778502
1008	5949	449947939.5	2131778502
1009	5949	449947939.5	2131778502
1011	5949	449947939.5	2131778502
1012	5949	449947939.5	2131778502
1020	5949	449947939.5	2131778502
1030	16504	306854640.2	1500117874
1031	16504	306854640.2	1500117874
1033	16504	306854640.2	1500117874
1035	16504	306854640.2	1500117874
1040	5949	449947939.5	2131778502
1041	5949	449947939.5	2131778502
1043	16504	306854640.2	1500117874
1044	16504	306854640.2	1500117874
1046	8826	111876957.7	527617115.4
1047	13925	339227504.3	1302755059
1048	5949	449947939.5	2131778502
1049	8826	111876957.7	527617115.4
1050	13925	339227504.3	1302755059
1060	19454	128470146.8	605649332.5
1070	7066	234165333.2	1320651547
1080	16352	162859117.7	964345577.3
1081	19162	52542527.64	264850402.8
1082	8741	82525602.16	363580839.3
1083	10487	76719697.9	359815934.7
1090	10427	160264266.9	733820155.2
1099	5949	449947939.5	2131778502
1105	5949	449947939.5	2131778502
1110	5949	449947939.5	2131778502
1120	5949	449947939.5	2131778502
1130	5949	449947939.5	2131778502
1140	8826	111876957.7	527617115.4
1150	4760	221943581.2	789281846.9
1160	3943	160640857	589237519.7
1170	1951	130771138	476837286.9
1180	3795	412216167.7	1561760306
1190	9225	173715657	775664780.4
1200	8332	240295305.3	906316263.9
1210	23173	37708086.64	238862701.9
1212	23173	37708086.64	238862701.9
1300	844	168599427	664983931.6
1301	844	168599427	664983931.6
1310	485	42747528.6	158085907.6
1315	146	26245991.84	102382522.2
1320	188	38235596.66	143991422.5
1325	245	72636121.41	257798229.8
1330	1315	129690954.8	475174920.8
1331	1315	129690954.8	475174920.8
1332	1315	129690954.8	475174920.8
1340	947	151969320.3	573778367.2
1341	947	151969320.3	573778367.2
1342	947	151969320.3	573778367.2
1348	449	39920594.69	149068938.2
1350	179	39662955.74	160981296.7
1357	227	14869838.93	62188443.38
1360	190	42843664.19	168666097.8
1367	137	28994301.62	117249541.6
1370	202	63945550.32	257014135
1380	298	97347279.51	346321899.4
1390	253	74149530.78	280786492.6
1400	478	135828538.6	540140462
1401	478	135828538.6	540140462
1402	478	135828538.6	540140462
1404	478	135828538.6	540140462
1410	1435	172383536	631117982.9
1420	773	207802616.6	801062726.9
1421	773	207802616.6	801062726.9
1428	773	207802616.6	801062726.9
1430	284	44797384.75	190026869.3
1435	449	39920594.69	149068938.2
1440	468	52275454.82	201676308.1
1450	245	38920312.48	145531839.8
1457	200	39481731.03	143850790.7
1460	200	33051213.81	130466005.5
1461	200	33051213.81	130466005.5
1470	178	77432923.92	301575363.6
1471	178	77432923.92	301575363.6
1472	178	77432923.92	301575363.6
1473	178	77432923.92	301575363.6
1474	178	77432923.92	301575363.6
1476	178	77432923.92	301575363.6
1480	866	87069930.92	405150808.1
1490	404	51569776.89	196251227.8
1495	231	53776633.14	205444237.5
1500	947	171202478.5	712394593.3
1501	947	171202478.5	712394593.3
1502	947	171202478.5	712394593.3
1540	153	34125480.62	133980375.7
1541	153	34125480.62	133980375.7
1547	118	10445795.75	41673900.06
1560	567	63536268.39	230935459.7
1570	253	43077068.34	173301551.1
1600	898	139253384.2	591483761
1601	898	139253384.2	591483761
1602	898	139253384.2	591483761
1620	2381	19370790.13	85985874.87
1630	1116	28257186.9	100326820.4
1640	822	116328488.9	418751237.9
1650	872	135984565.4	509616162.1
1651	872	135984565.4	509616162.1
1652	872	135984565.4	509616162.1
1653	872	135984565.4	509616162.1
1654	872	135984565.4	509616162.1
1670	128	24713737.62	93190256.04
1671	128	24713737.62	93190256.04
1673	128	24713737.62	93190256.04
1674	128	24713737.62	93190256.04
1700	1082	229345422.6	868256340
1701	1082	229345422.6	868256340
1702	1082	229345422.6	868256340
1703	1082	229345422.6	868256340
1730	712	154481497.2	617374698.4
1731	712	154481497.2	617374698.4
1733	712	154481497.2	617374698.4
1740	671	83265439.23	321790664.1
1741	671	83265439.23	321790664.1
1742	671	83265439.23	321790664.1
1745	746	73311605.95	284279747.9
1750	304	53415682.55	196724444
1755	237	48594299.91	189838417.9
1760	546	59823752.48	232696583.1
1761	546	59823752.48	232696583.1
1770	1377	55728956.08	237775382.6
1780	2072	87006543.16	325660433.2
1785	489	86791458.34	332936827.5
1790	762	67549819.16	264828237.4
1800	2199	170524391	720908932.4
1804	2199	170524391	720908932.4
1820	536	67120921.08	252428089
1830	1442	52121352.59	236703923.5
1831	1442	52121352.59	236703923.5
1840	531	96796816.8	375786649.1
1850	1031	202839061.1	766960083.3
1851	1031	202839061.1	766960083.3
1852	1031	202839061.1	766960083.3
1853	1031	202839061.1	766960083.3
1860	579	121253408.6	429331725.8
1861	579	121253408.6	429331725.8
1880	631	49885795.08	194113921.9
1910	372	70202214.9	257251736.2
1930	1323	152946289.9	598633861.9
1931	1442	52121352.59	236703923.5
1932	1323	152946289.9	598633861.9
1933	1323	152946289.9	598633861.9
1934	1442	52121352.59	236703923.5
1935	1323	152946289.9	598633861.9
1950	2392	80994702.64	278278022.4
1970	2148	86288567.89	299116555.7
1980	541	141604478.6	513669103.2
1981	541	141604478.6	513669103.2
1982	541	141604478.6	513669103.2
2000	2666	1732023153	7913652026
2018	2666	1732023153	7913652026
2020	2666	1732023153	7913652026
2030	2666	1732023153	7913652026
2040	2666	1732023153	7913652026
2050	2666	1732023153	7913652026
2060	2666	1732023153	7913652026
2070	967	84753336.19	367387630.2
2099	2666	1732023153	7913652026
2100	2666	1732023153	7913652026
2110	1342	44903717.45	186109200.6
2140	2666	1732023153	7913652026
2150	2917	45190282.65	193994065.1
2160	1029	58023997.85	244688391.3
2170	2666	1732023153	7913652026
2180	2666	1732023153	7913652026
2200	602	119377035.6	519220277.6
2220	513	179914708.7	776529853.5
2221	513	179914708.7	776529853.5
2222	513	179914708.7	776529853.5
2223	513	179914708.7	776529853.5
2230	283	59762892.06	265259489.6
2235	610	42924755.09	188196413.2
2240	335	61859917.42	253342105.3
2242	335	61859917.42	253342105.3
2243	335	61859917.42	253342105.3
2250	554	52097587.34	227303790.9
2260	462	107552943.7	464294289.8
2270	400	35495984.3	160164940.5
2275	286	70154728.71	303286002.8
2280	409	52582505.55	217749002.4
2288	409	52582505.55	217749002.4
2290	291	32916150.68	142888654.3
2300	834	155464332.8	735192914.1
2310	268	42064484.36	198814857.6
2320	211	69018902.59	357968968.6
2321	211	69018902.59	357968968.6
2322	211	69018902.59	357968968.6
2323	211	69018902.59	357968968.6
2328	211	69018902.59	357968968.6
2330	199	34260405.07	151360295.7
2340	498	79281934.8	336354913.9
2350	997	55090825.05	224815460.7
2360	379	55631790.73	262528010.7
2370	243	43152967.78	219211290.1
2380	163	41472115.42	245223600.2
2381	163	41472115.42	245223600.2
2382	163	41472115.42	245223600.2
2387	405	5645178.712	40961052.74
2390	312	67030921.84	283196025.8
2400	360	34201698.87	164153741.4
2430	395	63975407.71	289499601.8
2431	395	63975407.71	289499601.8
2440	384	172561324.7	733566202
2450	285	40787812.13	183456521.1
2460	272	84481153.01	355709830.1
2470	245	42093837.59	197573044.6
2480	360	34201698.87	164153741.4
2490	322	85273670.73	391886114.2
2491	322	85273670.73	391886114.2
2500	766	162169925.4	668984722.5
2520	453	96943253.01	383226756.5
2530	668	72176740.34	272832077
2531	668	72176740.34	272832077
2540	1397	57113279.15	200648504
2547	1505	48987524.99	181531695.1
2550	911	118259556.8	449618719.2
2560	605	97426434.65	417070112.4
2570	799	83026052.82	337057711
2580	538	79581423.28	331209131.7
2590	492	48835036.25	207937413.4
2600	2666	1732023153	7913652026
2610	2666	1732023153	7913652026
2620	2262	46767171.92	198766777.4
2627	1101	39933386.71	163263742.9
2630	1351	83283148.15	321603149.4
2640	3416	130084207.8	510455304.8
2650	2639	124777480.9	475935701.1
2660	2666	1732023153	7913652026
2800	1358	375498087.8	1536825130
2801	1358	375498087.8	1536825130
2811	1358	375498087.8	1536825130
2812	1358	375498087.8	1536825130
2820	529	97016004.98	346695619
2830	1032	106004475.9	453126635.7
2840	771	76423734.6	305209938.5
2845	2051	39241299.37	174264420.5
2850	2632	64945937.85	294135404.5
2860	603	104334551.2	410347464.2
2861	603	104334551.2	410347464.2
2870	549	127537401.5	507925594.2
2880	478	106037549.3	425259824.3
2890	549	127537401.5	507925594.2
2900	1174	168145042.6	685204898.5
2910	413	65128639.16	320940672.1
2920	331	85788927.43	359653537.7
2930	997	198330518.3	806119012.5
2940	879	91930551.65	371022443.1
2950	746	144685456.7	584421466.6
2960	335	134420695	557776664.8
2970	563	121192793.3	467064258.9
2980	583	113347507.5	452642956.9
2990	244	81736856.91	361632373.4
3000	1809	535581710.6	1962352502
3001	1809	535581710.6	1962352502
3010	1809	535581710.6	1962352502
3012	1809	535581710.6	1962352502
3018	1809	535581710.6	1962352502
3020	703	138454731.1	487922441
3040	252	57421686.48	208694144.2
3050	368	79147629.98	272600779.2
3051	368	79147629.98	272600779.2
3052	368	79147629.98	272600779.2
3053	368	79147629.98	272600779.2
3054	368	79147629.98	272600779.2
3060	342	59916552.66	215405860.2
3061	342	59916552.66	215405860.2
3070	610	119024797.8	426597171.3
3071	610	119024797.8	426597171.3
3078	610	119024797.8	426597171.3
3080	686	134856356.5	468728020.5
3090	577	155496804.7	547993512
3110	475	95099083.65	354787566
3111	475	95099083.65	354787566
3118	475	95099083.65	354787566
3120	704	76024182.36	301451947
3128	704	76024182.36	301451947
3130	601	49689092.12	200912715.2
3140	717	92277677.39	324167535.7
3150	505	79327070.02	305029070.3
3190	711	72973072.73	272750040.7
3191	711	72973072.73	272750040.7
3200	494	138518887.9	576321514.8
3201	494	138518887.9	576321514.8
3202	494	138518887.9	576321514.8
3210	334	91240565.99	330256773.5
3211	334	91240565.99	330256773.5
3212	334	91240565.99	330256773.5
3220	263	57717932.34	214189547.2
3221	263	57717932.34	214189547.2
3270	469	97450027.68	431798821.2
3271	469	97450027.68	431798821.2
3272	469	97450027.68	431798821.2
3290	425	107670821.4	453569281.2
3293	425	107670821.4	453569281.2
3294	425	107670821.4	453569281.2
3300	503	148816609	636385296.1
3320	201	37184909.02	141428788.2
3321	201	37184909.02	141428788.2
3350	199	32618312.47	138399567.7
3360	270	63905125.33	228711655.6
3370	277	46746199.7	173109226.6
3380	201	26265216.46	105881772.1
3381	201	26265216.46	105881772.1
3384	201	26265216.46	105881772.1
3390	261	53519908.62	213174561.3
3391	261	53519908.62	213174561.3
3400	307	72018918.23	301862196.5
3401	307	72018918.23	301862196.5
3404	307	72018918.23	301862196.5
3440	186	35629916.28	155855414.7
3450	176	23628296.4	107193874.8
3454	176	23628296.4	107193874.8
3460	182	27605310.46	117288354.6
3461	182	27605310.46	117288354.6
3470	161	33370739.72	145944799.8
3471	161	33370739.72	145944799.8
3472	161	33370739.72	145944799.8
3473	161	33370739.72	145944799.8
3500	787	357566926.3	1486443144
3501	787	357566926.3	1486443144
3510	787	357566926.3	1486443144
3511	787	357566926.3	1486443144
3512	787	357566926.3	1486443144
3520	551	87791767.32	385379859.9
3530	395	95019501.64	483405034.2
3540	298	54268324.24	233369416.7
3545	261	38423199.37	170156443.9
3550	656	112824473.1	542312631.8
3560	285	62793639.68	274105458.1
3570	422	50902820.38	215717532.5
3580	615	152270120.5	735280495.4
3581	615	152270120.5	735280495.4
3582	615	152270120.5	735280495.4
3583	615	152270120.5	735280495.4
3590	473	79776850.89	347406006.2
3600	775	202956177.6	1032432338
3620	447	74900928.49	453272123.3
3621	447	74900928.49	453272123.3
3630	523	96290750.52	566903723.8
3631	523	96290750.52	566903723.8
3640	226	31964273.47	196082444.2
3650	324	61479782.08	326568634.6
3660	205	82850243.88	397885934.2
3665	373	30685567.54	143483958.3
3668	373	30685567.54	143483958.3
3670	205	82850243.88	397885934.2
3680	335	80192021.34	425068508
3690	230	28169110.55	131889018.5
3700	366	118029875.2	544369141.6
3717	56	348015.0611	1619404.224
3720	258	36228122.39	155827450.9
3721	258	36228122.39	155827450.9
3722	258	36228122.39	155827450.9
3723	258	36228122.39	155827450.9
3724	258	36228122.39	155827450.9
3730	335	37680334.1	171698829.8
3732	335	37680334.1	171698829.8
3740	431	118377159.6	553204911.6
3742	431	118377159.6	553204911.6
3746	431	118377159.6	553204911.6
3770	291	53763492.93	281882398.3
